"subNum","trial_number","cuedAR","uncuedAR","responseAR","response_error","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","uncued_motion_dir","arDiff","pairAvg","cuedMotDir","pairGlobalOrg","pairMotDirSameness","pairMotDirSameness_wRandom","pairMotSame","pairMotDiff","pairMotRandom","pairSameARCat","pairAR_sameCondition","motDirComp","pairMotCoherent","pairMotDiago","id","corrCoeff","corrPval"
16592,24,-0.46332,-0.46332,0.27799,0.74131,3337,3,2,90,270,0,1,270,90,0,-0.46332,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,114,-0.46332,-0.46332,-0.139,0.32432,1851,2,2,270,270,1,0,9999,9999,0,-0.46332,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,82,-0.46332,-0.46332,-0.23166,0.23166,3622,1,1,270,180,0,0,9999,9999,0,-0.46332,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,103,-0.46332,-0.46332,-0.23166,0.23166,1778,3,2,90,180,0,1,180,90,0,-0.46332,0,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,15,-0.46332,-0.46332,-0.23166,0.23166,2536,4,1,0,0,2,0,9999,9999,0,-0.46332,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,130,-0.46332,-0.46332,-0.23166,0.23166,1638,3,2,0,270,2,1,270,0,0,-0.46332,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,66,-0.46332,-0.46332,-0.27799,0.18533,1875,1,1,0,0,0,1,0,0,0,-0.46332,0,0,1,1,1,0,0,1,1,0,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,1,-0.46332,-0.46332,-0.27799,0.18533,3760,1,1,0,0,2,1,0,0,0,-0.46332,0,0,1,1,1,0,0,1,1,0,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,120,-0.46332,-0.46332,-0.37066,0.09266,2257,3,1,90,0,1,1,90,0,0,-0.46332,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,120,-0.46332,-0.46332,-0.37066,0.09266,2257,3,1,90,0,1,1,90,0,0,-0.46332,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,145,-0.46332,-0.46332,-0.41699,0.04633,2180,3,1,270,180,2,1,270,180,0,-0.46332,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,53,-0.46332,-0.46332,-0.55598,-0.09266,2801,4,2,90,270,1,1,270,90,0,-0.46332,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,37,-0.41699,-0.41699,0.23166,0.64865,24826,1,1,270,180,1,0,9999,9999,0,-0.41699,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
